timestep,bio-power-bagasse-INDEA-agricultural-waste-solids-exo-2023,bio-power-bagasse-INDNE-agricultural-waste-solids-exo-2023,bio-power-bagasse-INDNO-agricultural-waste-solids-exo-2023,bio-power-bagasse-INDSO-agricultural-waste-solids-exo-2023,bio-power-bagasse-INDWE-agricultural-waste-solids-exo-2023,bio-power-non-bagasse-INDEA-bioenergy-exo-2023,bio-power-non-bagasse-INDNE-bioenergy-exo-2023,bio-power-non-bagasse-INDNO-bioenergy-exo-2023,bio-power-non-bagasse-INDSO-bioenergy-exo-2023,bio-power-non-bagasse-INDWE-bioenergy-exo-2023,bio-power-waste-to-energy-INDEA-waste-exo-2023,bio-power-waste-to-energy-INDNE-waste-exo-2023,bio-power-waste-to-energy-INDNO-waste-exo-2023,bio-power-waste-to-energy-INDSO-waste-exo-2023,bio-power-waste-to-energy-INDWE-waste-exo-2023,solar-groundmounted-INDEA-solar-exo-2023,solar-groundmounted-INDNE-solar-exo-2023,solar-groundmounted-INDNO-solar-exo-2023,solar-groundmounted-INDSO-solar-exo-2023,solar-groundmounted-INDWE-solar-exo-2023,solar-hybrid-solar-INDEA-solar-exo-2023,solar-hybrid-solar-INDNO-solar-exo-2023,solar-hybrid-solar-INDSO-solar-exo-2023,solar-hybrid-solar-INDWE-solar-exo-2023,solar-roof-top-INDEA-solar-exo-2023,solar-roof-top-INDNE-solar-exo-2023,solar-roof-top-INDNO-solar-exo-2023,solar-roof-top-INDSO-solar-exo-2023,solar-roof-top-INDWE-solar-exo-2023,wind-INDEA-wind-exo-2023,wind-INDNE-wind-exo-2023,wind-INDNO-wind-exo-2023,wind-INDSO-wind-exo-2023,wind-INDWE-wind-exo-2023,circulating-fluidized-bed-INDSO-coal-exo-2023,circulating-fluidized-bed-INDWE-coal-exo-2023,coal-unspecified-INDEA-coal-exo-2023,coal-unspecified-INDSO-coal-exo-2023,coal-unspecified-INDWE-coal-exo-2023,combined-cycle-INDNE-gas-exo-2023,combined-cycle-INDNO-gas-exo-2023,combined-cycle-INDSO-gas-exo-2023,combined-cycle-INDSO-oil-exo-2023,combined-cycle-INDWE-gas-exo-2023,gas-turbine-INDNE-gas-exo-2023,gas-turbine-INDSO-gas-exo-2023,hydro-reservoir-INDEA-water-exo-2023,hydro-reservoir-INDNE-water-exo-2023,hydro-reservoir-INDNO-water-exo-2023,hydro-reservoir-INDSO-water-exo-2023,hydro-reservoir-INDWE-water-exo-2023,hydro-run-of-river-INDEA-water-exo-2023,hydro-run-of-river-INDNE-water-exo-2023,hydro-run-of-river-INDNE-water-exo-2030,hydro-run-of-river-INDNO-water-exo-2023,hydro-run-of-river-INDNO-water-exo-2030,hydro-run-of-river-INDSO-water-exo-2023,hydro-run-of-river-INDWE-water-exo-2023,hydro-unspecified-INDNO-water-exo-2023,hydro-unspecified-INDNO-water-exo-2030,hydro-unspecified-INDSO-water-exo-2023,hydro-unspecified-INDSO-water-exo-2030,internal-combustion-combined-cycle-INDNE-gas-exo-2023,internal-combustion-combined-cycle-INDSO-gas-exo-2023,internal-combustion-combined-cycle-INDSO-oil-exo-2023,pressurized-heavy-water-reactor-INDNO-uranium-exo-2023,pressurized-heavy-water-reactor-INDSO-uranium-exo-2023,pressurized-heavy-water-reactor-INDWE-uranium-exo-2023,pressurized-heavy-water-reactor-INDWE-uranium-exo-2030,pressurized-water-reactor-INDSO-uranium-exo-2023,steam-turbine-INDEA-coal-exo-2023,subcritical-INDEA-coal-exo-2023,subcritical-INDNE-coal-exo-2023,subcritical-INDNO-coal-exo-2023,subcritical-INDSO-coal-exo-2023,subcritical-INDWE-coal-exo-2023,subcritical-INDWE-waste-exo-2023,supercritical-INDEA-coal-exo-2023,supercritical-INDNO-coal-exo-2023,supercritical-INDSO-coal-exo-2023,supercritical-INDWE-coal-exo-2023,ultrasupercritical-INDWE-coal-exo-2023,subcritical-INDEA-coal-exo-2030,supercritical-INDEA-coal-exo-2030,supercritical-INDNO-coal-exo-2030,supercritical-INDSO-coal-exo-2030,supercritical-INDWE-coal-exo-2030,ultrasupercritical-INDEA-coal-exo-2030,ultrasupercritical-INDNO-coal-exo-2030,ultrasupercritical-INDWE-coal-exo-2030,pressurized-heavy-water-reactor-INDNO-uranium-exo-2030,pressurized-heavy-water-reactor-INDSO-uranium-exo-2030,solar-groundmounted-INDEA-solar-exo-2030,solar-groundmounted-INDNE-solar-exo-2030,solar-groundmounted-INDNO-solar-exo-2030,solar-groundmounted-INDSO-solar-exo-2030,solar-groundmounted-INDWE-solar-exo-2030,wind-INDNO-wind-exo-2030,wind-INDSO-wind-exo-2030,wind-INDWE-wind-exo-2030,wind-INDEA-wind-exo-2030,wind-INDNE-wind-exo-2030,hydro-reservoir-INDEA-water-exo-2030,hydro-reservoir-INDNE-water-exo-2030,hydro-reservoir-INDNO-water-exo-2030,hydro-reservoir-INDSO-water-exo-2030,hydro-reservoir-INDWE-water-exo-2030
01/01/2023 00:00,0.45,0.385,0.385,0.28875,0.385,0.45,0.4,0.4,0.4,0.4,0.45,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.012,0.25,0.227,0.063,0.74,0.74,0.74,0.74,0.74,0.98,0.98,0.06,1,0.98,0.98,0.98,0.245,0.248,0.229,0.422,0.313,0.245,0.248,0.248,0.229,0.229,0.422,0.313,0.229,0.229,0.422,0.422,0.98,0.06,1,0.77,0.77,0.77,0.77,0.77,0.74,0.74,0.74,0.74,0.74,0.74,0.4,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.77,0.77,0,0,0,0,0,0.25,0.227,0.063,0.05,0.012,0.245,0.248,0.229,0.422,0.313
01/01/2023 01:00,0.45,0.385,0.385,0.28875,0.385,0.45,0.4,0.4,0.4,0.4,0.45,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,0.014,0.245,0.217,0.07,0.74,0.74,0.74,0.74,0.74,0.98,0.98,0.06,1,0.98,0.98,0.98,0.245,0.248,0.229,0.422,0.313,0.245,0.248,0.248,0.229,0.229,0.422,0.313,0.229,0.229,0.422,0.422,0.98,0.06,1,0.77,0.77,0.77,0.77,0.77,0.74,0.74,0.74,0.74,0.74,0.74,0.4,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.77,0.77,0,0,0,0,0,0.245,0.217,0.07,0.071,0.014,0.245,0.248,0.229,0.422,0.313
01/01/2023 02:00,0.45,0.385,0.385,0.28875,0.385,0.45,0.4,0.4,0.4,0.4,0.45,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,0.017,0.236,0.214,0.079,0.74,0.74,0.74,0.74,0.74,0.98,0.98,0.06,1,0.98,0.98,0.98,0.245,0.248,0.229,0.422,0.313,0.245,0.248,0.248,0.229,0.229,0.422,0.313,0.229,0.229,0.422,0.422,0.98,0.06,1,0.77,0.77,0.77,0.77,0.77,0.74,0.74,0.74,0.74,0.74,0.74,0.4,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.77,0.77,0,0,0,0,0,0.236,0.214,0.079,0.088,0.017,0.245,0.248,0.229,0.422,0.313
01/01/2023 03:00,0.45,0.385,0.385,0.28875,0.385,0.45,0.4,0.4,0.4,0.4,0.45,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,0.021,0.231,0.21,0.091,0.74,0.74,0.74,0.74,0.74,0.98,0.98,0.06,1,0.98,0.98,0.98,0.245,0.248,0.229,0.422,0.313,0.245,0.248,0.248,0.229,0.229,0.422,0.313,0.229,0.229,0.422,0.422,0.98,0.06,1,0.77,0.77,0.77,0.77,0.77,0.74,0.74,0.74,0.74,0.74,0.74,0.4,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.77,0.77,0,0,0,0,0,0.231,0.21,0.091,0.102,0.021,0.245,0.248,0.229,0.422,0.313
01/01/2023 04:00,0.45,0.385,0.385,0.28875,0.385,0.45,0.4,0.4,0.4,0.4,0.45,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.024,0.244,0.178,0.101,0.74,0.74,0.74,0.74,0.74,0.98,0.98,0.06,1,0.98,0.98,0.98,0.245,0.248,0.229,0.422,0.313,0.245,0.248,0.248,0.229,0.229,0.422,0.313,0.229,0.229,0.422,0.422,0.98,0.06,1,0.77,0.77,0.77,0.77,0.77,0.74,0.74,0.74,0.74,0.74,0.74,0.4,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.77,0.77,0,0,0,0,0,0.244,0.178,0.101,0.1,0.024,0.245,0.248,0.229,0.422,0.313
01/01/2023 05:00,0.45,0.385,0.385,0.28875,0.385,0.45,0.4,0.4,0.4,0.4,0.45,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106,0.027,0.248,0.164,0.112,0.74,0.74,0.74,0.74,0.74,0.98,0.98,0.06,1,0.98,0.98,0.98,0.245,0.248,0.229,0.422,0.313,0.245,0.248,0.248,0.229,0.229,0.422,0.313,0.229,0.229,0.422,0.422,0.98,0.06,1,0.77,0.77,0.77,0.77,0.77,0.74,0.74,0.74,0.74,0.74,0.74,0.4,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.77,0.77,0,0,0,0,0,0.248,0.164,0.112,0.106,0.027,0.245,0.248,0.229,0.422,0.313
01/01/2023 06:00,0.45,0.385,0.385,0.28875,0.385,0.45,0.4,0.4,0.4,0.4,0.45,0.4,0.4,0.4,0.4,0,0.002,0,0,0,0,0,0,0,0,0.002,0,0,0,0.025,0.026,0.332,0.219,0.291,0.74,0.74,0.74,0.74,0.74,0.98,0.98,0.06,1,0.98,0.98,0.98,0.245,0.248,0.229,0.422,0.313,0.245,0.248,0.248,0.229,0.229,0.422,0.313,0.229,0.229,0.422,0.422,0.98,0.06,1,0.77,0.77,0.77,0.77,0.77,0.74,0.74,0.74,0.74,0.74,0.74,0.4,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.77,0.77,0,0.002,0,0,0,0.332,0.219,0.291,0.025,0.026,0.245,0.248,0.229,0.422,0.313
01/01/2023 07:00,0.45,0.385,0.385,0.28875,0.385,0.45,0.4,0.4,0.4,0.4,0.45,0.4,0.4,0.4,0.4,0.018,0.036,0.001,0.013,0.001,0.018,0.001,0.013,0.001,0.018,0.036,0.001,0.013,0.001,0.015,0.029,0.298,0.223,0.292,0.74,0.74,0.74,0.74,0.74,0.98,0.98,0.06,1,0.98,0.98,0.98,0.245,0.248,0.229,0.422,0.313,0.245,0.248,0.248,0.229,0.229,0.422,0.313,0.229,0.229,0.422,0.422,0.98,0.06,1,0.77,0.77,0.77,0.77,0.77,0.74,0.74,0.74,0.74,0.74,0.74,0.4,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.77,0.77,0.018,0.036,0.001,0.013,0.001,0.298,0.223,0.292,0.015,0.029,0.245,0.248,0.229,0.422,0.313
01/01/2023 08:00,0.45,0.385,0.385,0.28875,0.385,0.45,0.4,0.4,0.4,0.4,0.45,0.4,0.4,0.4,0.4,0.168,0.222,0.026,0.139,0.036,0.168,0.026,0.139,0.036,0.168,0.222,0.026,0.139,0.036,0.008,0.023,0.269,0.221,0.29,0.74,0.74,0.74,0.74,0.74,0.98,0.98,0.06,1,0.98,0.98,0.98,0.245,0.248,0.229,0.422,0.313,0.245,0.248,0.248,0.229,0.229,0.422,0.313,0.229,0.229,0.422,0.422,0.98,0.06,1,0.77,0.77,0.77,0.77,0.77,0.74,0.74,0.74,0.74,0.74,0.74,0.4,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.77,0.77,0.168,0.222,0.026,0.139,0.036,0.269,0.221,0.29,0.008,0.023,0.245,0.248,0.229,0.422,0.313
01/01/2023 09:00,0.45,0.385,0.385,0.28875,0.385,0.45,0.4,0.4,0.4,0.4,0.45,0.4,0.4,0.4,0.4,0.349,0.394,0.201,0.338,0.253,0.349,0.201,0.338,0.253,0.349,0.394,0.201,0.338,0.253,0.002,0.001,0.21,0.262,0.226,0.74,0.74,0.74,0.74,0.74,0.98,0.98,0.06,1,0.98,0.98,0.98,0.245,0.248,0.229,0.422,0.313,0.245,0.248,0.248,0.229,0.229,0.422,0.313,0.229,0.229,0.422,0.422,0.98,0.06,1,0.77,0.77,0.77,0.77,0.77,0.74,0.74,0.74,0.74,0.74,0.74,0.4,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.77,0.77,0.349,0.394,0.201,0.338,0.253,0.21,0.262,0.226,0.002,0.001,0.245,0.248,0.229,0.422,0.313
